                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58877,                 2.3182,                 1.0303,                0.85784,                0.80949,                0.90641,                 0.8396,                 0.3663,                0.73485,                0.79543,               0.000208,               0.000208,               0.000208
                      2,                0.55434,                0.96298,                0.98257,                0.88807,                0.83985,                0.92959,                0.87885,                0.33299,                0.60804,                0.78902,             0.00038886,             0.00038886,             0.00038886
                      3,                0.54093,                 0.8155,                0.97292,                0.92136,                0.92164,                0.96837,                0.92191,                0.32884,                0.45411,                0.79313,             0.00054221,             0.00054221,             0.00054221
                      4,                0.51851,                0.70353,                0.96485,                0.97595,                0.97573,                0.99191,                0.92776,                0.38369,                0.32593,                0.79711,             0.00050125,             0.00050125,             0.00050125
                      5,                 0.4875,                0.59914,                0.94884,                0.98715,                0.99294,                0.99342,                0.93064,                0.37002,                0.28102,                0.79176,                0.00046,                0.00046,                0.00046
                      6,                 0.3368,                0.39016,                 0.8552,                0.98203,                0.99134,                0.99415,                0.94784,                0.35028,                0.26429,                0.78721,             0.00041875,             0.00041875,             0.00041875
                      7,                0.31365,                0.34334,                0.84537,                0.98801,                0.98216,                0.99398,                0.96423,                0.28918,                0.24975,                0.78198,              0.0003775,              0.0003775,              0.0003775
                      8,                0.30033,                0.31589,                0.83782,                0.99251,                0.99282,                0.99474,                0.97306,                0.26809,                0.22486,                 0.7762,             0.00033625,             0.00033625,             0.00033625
                      9,                0.28355,                0.28178,                0.83319,                0.98411,                0.98396,                 0.9888,                0.97389,                0.22814,                 0.2301,                 0.7713,               0.000295,               0.000295,               0.000295
                     10,                0.26884,                0.25963,                0.82592,                0.99495,                0.99946,                  0.995,                 0.9752,                0.26634,                 0.1997,                0.77448,             0.00025375,             0.00025375,             0.00025375
                     11,                  0.257,                0.23796,                0.82612,                0.99718,                0.99757,                0.99499,                0.97824,                0.23068,                0.18037,                0.76815,              0.0002125,              0.0002125,              0.0002125
                     12,                0.24352,                0.21693,                0.82232,                0.99535,                0.99746,                0.99499,                0.98383,                0.22109,                0.17612,                0.76502,             0.00017125,             0.00017125,             0.00017125
                     13,                 0.2289,                0.19818,                0.81378,                0.99826,                0.99926,                  0.995,                0.98276,                0.23084,                0.16363,                0.76538,                0.00013,                0.00013,                0.00013
                     14,                0.21796,                0.18528,                0.81312,                0.99618,                0.99819,                  0.995,                0.98848,                0.18635,                0.14667,                 0.7612,              8.875e-05,              8.875e-05,              8.875e-05
                     15,                0.20545,                0.16928,                0.80873,                0.99737,                0.99894,                  0.995,                0.98974,                 0.1862,                 0.1418,                0.76135,               4.75e-05,               4.75e-05,               4.75e-05
